,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer,Unnamed: 0
15423,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,7.00 USD,$7.00,9457.0,Ciscoking,Goldenboy123,
15424,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,6.00 USD,$6.00,7596.0,Yoms,Goldenboy123,
15425,20 hours ago,2020-21 Rui Hachimura,Cool Cats,Washington Wizards,Assist,246.00 USD,$246.00,2265.0,realDonaldTrump,dependable_vervet_monkey6157,
15426,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,7.00 USD,$7.00,9569.0,darko3131,Goldenboy123,
15427,20 hours ago,2019-20 Karl-Anthony Towns,Base Set,Minnesota Timberwolves,Dunk,139.00 USD,$139.00,793.0,mynameisbrandon,HeatFan,
15428,20 hours ago,2020-21 Christian Wood,Base Set,Houston Rockets,Dunk,20.00 USD,$20.00,727.0,Massine,NikoHD,
15429,20 hours ago,2019-20 Marcus Smart,Base Set,Boston Celtics,Steal,75.00 USD,$75.00,240.0,Chadstrodaumus,SportsCheetah,
15430,20 hours ago,NBA Top Shot (SN# 2338928),,,,15.00 USD,$15.00,,intelligent_tapir,Mikeystrings,
15431,20 hours ago,2019-20 Miles Bridges,Base Set,Charlotte Hornets,Dunk,19.00 USD,$19.00,3998.0,Umadbro420,0xe0ebfd...99edd7,
15432,20 hours ago,2020-21 Zion Williamson,Season Tip-off,New Orleans Pelicans,Block,"2,750.00 USD","$2,750.00",143.0,SilentBang13,0xd5e84c...e3f412,
15433,20 hours ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,3 Pointer,195.00 USD,$195.00,7860.0,JonyB,NBAown_a_peace_BlacklivesM,
15434,20 hours ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,7071.0,Speedy,Koko007,
15435,20 hours ago,2020-21 Jarrett Culver,Base Set,Minnesota Timberwolves,Dunk,2.00 USD,$2.00,10103.0,energetic_wrasse8987,0x08f764...56b00e,
15436,20 hours ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,149.00 USD,$149.00,6725.0,Mannion,Yoms,
15437,20 hours ago,2020-21 Dennis Schröder,Base Set,Los Angeles Lakers,Layup,3.00 USD,$3.00,11126.0,0x875c8a...c52ad6,0x6d11de...907a78,
15438,20 hours ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,172.00 USD,$172.00,2617.0,biodegradable_armadillo,Brisk,
15439,20 hours ago,2020-21 Jaxson Hayes,Base Set,New Orleans Pelicans,Dunk,6.00 USD,$6.00,5715.0,boujeeIHOF,Mudshark,
15440,20 hours ago,2019-20 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,80.00 USD,$80.00,2391.0,RickOshay,bakraparty,
15441,20 hours ago,2020-21 Ish Smith,Base Set,Washington Wizards,Assist,2.00 USD,$2.00,9094.0,0xe5acfb...bbe3db,99POROS,
15442,20 hours ago,2020-21 JaVale McGee,Base Set,Cleveland Cavaliers,Dunk,3.00 USD,$3.00,4143.0,JonyB,0x4444e4...3e5a06,
15443,20 hours ago,2020-21 Jaylen Brown,Base Set,Boston Celtics,Jump Shot,9.00 USD,$9.00,3508.0,justinbeckman,vietti22,
15444,20 hours ago,2020-21 RJ Barrett,Base Set,New York Knicks,Dunk,10.00 USD,$10.00,4730.0,Chaotic,Mikeystrings,
15445,20 hours ago,2019-20 Karl-Anthony Towns,Base Set,Minnesota Timberwolves,Dunk,135.00 USD,$135.00,1401.0,Zorik80,ZGG,
15446,20 hours ago,2019-20 Shai Gilgeous-Alexander,Metallic Gold LE,Oklahoma City Thunder,Handles,888.00 USD,$888.00,212.0,Giannis,chanZERO,
15447,20 hours ago,2020-21 Khris Middleton,Base Set,Milwaukee Bucks,Jump Shot,2.00 USD,$2.00,11126.0,Dappur_Debbie,0x08f764...56b00e,
15448,20 hours ago,2020-21 Donovan Mitchell,Base Set,Utah Jazz,Jump Shot,9.00 USD,$9.00,10614.0,foot_karmo_locker,Eaglezzz,
15449,20 hours ago,2019-20 P.J. Tucker,Base Set,Houston Rockets,Layup,17.00 USD,$17.00,3720.0,bibdieufr,Kaboon,
15450,20 hours ago,2019-20 Karl-Anthony Towns,Base Set,Minnesota Timberwolves,Dunk,135.00 USD,$135.00,1401.0,Zorik80,ZGG,
15451,20 hours ago,2019-20 Shai Gilgeous-Alexander,Metallic Gold LE,Oklahoma City Thunder,Handles,888.00 USD,$888.00,212.0,Giannis,chanZERO,
15452,20 hours ago,2020-21 Khris Middleton,Base Set,Milwaukee Bucks,Jump Shot,2.00 USD,$2.00,11126.0,Dappur_Debbie,0x08f764...56b00e,
15453,20 hours ago,2020-21 Donovan Mitchell,Base Set,Utah Jazz,Jump Shot,9.00 USD,$9.00,10614.0,foot_karmo_locker,Eaglezzz,
15454,20 hours ago,2019-20 P.J. Tucker,Base Set,Houston Rockets,Layup,17.00 USD,$17.00,3720.0,bibdieufr,Kaboon,
15455,20 hours ago,2020-21 DeMarcus Cousins,Base Set,Houston Rockets,3 Pointer,3.00 USD,$3.00,9583.0,Dappur_Debbie,BlanketBob,
15456,20 hours ago,2020-21 Brandon Clarke,Base Set,Memphis Grizzlies,Layup,5.00 USD,$5.00,10787.0,whenX1000,0x08f764...56b00e,
15457,20 hours ago,2020-21 Gordon Hayward,Base Set,Charlotte Hornets,Jump Shot,16.00 USD,$16.00,9738.0,kelvinlht,aidanms23,
15458,20 hours ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Dunk,47.00 USD,$47.00,7832.0,NDT,Shuketch,
15459,20 hours ago,2020-21 Al Horford,Base Set,Oklahoma City Thunder,Dunk,5.00 USD,$5.00,703.0,ezpz3,CollecterD,
15460,20 hours ago,2020-21 Joel Embiid,Base Set,Philadelphia 76ers,Jump Shot,9.00 USD,$9.00,5802.0,LULU427,eys819,
15461,20 hours ago,NBA Top Shot (SN# 2291310),,,,13.00 USD,$13.00,,squaidster,Tmac,
15462,20 hours ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,7050.0,Speedy,Koko007,
15463,20 hours ago,2020-21 Dillon Brooks,Base Set,Memphis Grizzlies,Layup,2.00 USD,$2.00,11501.0,YouFailMe,0x08f764...56b00e,
15464,20 hours ago,2020-21 Sam Merrill,Base Set,Milwaukee Bucks,3 Pointer,5.00 USD,$5.00,4364.0,LULU427,Mudshark,
15465,20 hours ago,2019-20 Seth Curry,Base Set,Dallas Mavericks,Assist,26.00 USD,$26.00,2558.0,Goldenboy123,Zesa,
15466,20 hours ago,2020-21 RJ Barrett,Base Set,New York Knicks,Dunk,11.00 USD,$11.00,1496.0,Chaotic,CollecterD,
15467,20 hours ago,2020-21 Mitchell Robinson,Base Set,New York Knicks,Dunk,3.00 USD,$3.00,2470.0,PumpIHOF,0x08f764...56b00e,
15468,20 hours ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,7037.0,Speedy,Koko007,
15469,20 hours ago,2020-21 Sam Merrill,Base Set,Milwaukee Bucks,3 Pointer,50.00 USD,$50.00,212.0,srug102333,0x927167...926652,
15470,20 hours ago,2020-21 RJ Barrett,Base Set,New York Knicks,Dunk,15.00 USD,$15.00,740.0,whenX1000,teeming_horned_frog1363,
15471,20 hours ago,2020-21 Bam Adebayo,Base Set,Miami Heat,Dunk,9.00 USD,$9.00,3447.0,Stage05Clinger,Napoleon,
15472,20 hours ago,2020-21 Zach LaVine,Base Set,Chicago Bulls,3 Pointer,9.00 USD,$9.00,4104.0,LizarDom,Napoleon,
15473,20 hours ago,2013-14 Jimmy Butler,Run It Back,Chicago Bulls,Dunk,"1,049.00 USD","$1,049.00",37.0,G_edwards,cybertruck,
15474,20 hours ago,NBA Top Shot (SN# 2219672),,,,9.00 USD,$9.00,,LULU427,Mudshark,
15475,20 hours ago,2020-21 Kelly Oubre Jr.,Base Set,Golden State Warriors,Dunk,3.00 USD,$3.00,2371.0,LULU427,0x08f764...56b00e,
15476,20 hours ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,6959.0,Speedy,Koko007,
15477,20 hours ago,2020-21 Draymond Green,Base Set,Golden State Warriors,Assist,5.00 USD,$5.00,7344.0,nbager,UNCLE_PEE,
15478,20 hours ago,2019-20 JaMychal Green,Base Set,Los Angeles Clippers,Dunk,18.00 USD,$18.00,2185.0,Zero_cooler,0xaa0140...cb144a,
15479,20 hours ago,2020-21 RJ Barrett,Base Set,New York Knicks,Dunk,10.00 USD,$10.00,3476.0,half_court_shot,Airmediummic,
15480,20 hours ago,2020-21 Ish Smith,Base Set,Washington Wizards,Assist,2.00 USD,$2.00,6449.0,Tony_Peanuts,99POROS,
15481,20 hours ago,2019-20 Kawhi Leonard,Base Set,Los Angeles Clippers,Block,119.00 USD,$119.00,2447.0,Charsobess0308,quaintmammoth,
15482,20 hours ago,2020-21 Gordon Hayward,Base Set,Charlotte Hornets,Jump Shot,16.00 USD,$16.00,4502.0,Jayk,DatBoiTommy,
15483,20 hours ago,2020-21 Mason Plumlee,Base Set,Detroit Pistons,Dunk,5.00 USD,$5.00,2831.0,justinbeckman,Mudshark,
15484,20 hours ago,2020-21 Thanasis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,6.00 USD,$6.00,9572.0,Jinzo,Koko007,
15485,20 hours ago,2020-21 De'Anthony Melton,Base Set,Memphis Grizzlies,Dunk,6.00 USD,$6.00,4010.0,typhan,Napoleon,
